Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
Pinnacles National Park,"393,219","224,476","237,677","196,635","206,533","215,555","233,334","222,152","177,224","165,740","227,255"
Redwood National Park,"380,167","352,517","393,364","429,166","527,143","536,297","445,000","482,536","504,722","265,177","431,609"
Rocky Mountain National Park,"3,176,941","3,229,617","2,991,141","3,434,751","4,155,916","4,517,585","4,437,215","4,590,493","4,670,053","3,305,199","3,850,891"
Saguaro National Park,"610,045","634,286","678,261","673,572","753,446","820,426","964,760","957,405","1,020,226","762,226","787,465"
Sequoia National Park,"1,006,583","1,106,584","909,274","1,039,137","1,097,464","1,254,688","1,291,256","1,229,594","1,246,053","796,086","1,097,672"
Shenandoah National Park,"1,209,883","1,210,200","1,136,505","1,255,321","1,321,873","1,437,341","1,458,874","1,264,880","1,425,507","1,666,265","1,338,665"
Theodore Roosevelt National Park,"563,407","640,555","545,090","559,580","580,033","753,880","708,003","749,389","691,658","551,303","634,290"
Virgin Islands National Park,"442,414","483,341","438,601","426,930","438,372","411,343","304,408","112,287","133,398","167,540","335,863"
Voyageurs National Park,"177,184","214,841","233,390","239,160","238,313","241,912","237,250","239,656","232,974","263,091","231,777"
White Sands National Park,"428,924","447,385","490,544","503,660","497,506","555,793","612,468","603,008","608,785","415,383","516,346"
Wind Cave National Park,"538,394","529,083","516,142","547,022","612,198","617,377","619,924","656,397","615,350","448,405","570,029"
Wrangell-St. Elias National Park & Preserve,"65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450","74,518","16,655","69,542"
Yellowstone National Park,"3,394,326","3,447,729","3,188,030","3,513,484","4,097,710","4,257,177","4,116,524","4,115,000","4,020,288","3,806,306","3,795,657"
Yosemite National Park,"3,951,393","3,853,404","3,691,191","3,882,642","4,150,217","5,028,868","4,336,890","4,009,436","4,422,861","2,268,313","3,959,522"
Zion National Park,"2,825,505","2,973,607","2,807,387","3,189,696","3,648,846","4,295,127","4,504,812","4,320,033","4,488,268","3,591,254","3,664,454"
